Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04060:Cytokine-cytokine receptor interaction	11	5.7591623036649215	0.0013061257895618922	CXCL14, CXCL13, CCL21, IL1RAP, LIFR, CCL19, CXCL6, CCL5, IL7R, CXCL12, GHR	92	243	6879	3.3847289318303813	0.1833803399362589	0.1833803399362589	1.5573460879382939
KEGG_PATHWAY	hsa00830:Retinol metabolism	6	3.1413612565445024	0.0014957277838070209	CYP2B6, CYP2C8, CYP26A1, CYP2A6, CYP1A2, RDH16	92	64	6879	7.009850543478261	0.20706288664931682	0.10952983578859699	1.781558811226014
KEGG_PATHWAY	hsa04115:p53 signaling pathway	6	3.1413612565445024	0.001836634689714789	CCNB1, CCNE2, RRM2, IGF1, THBS1, IGFBP3	92	67	6879	6.695976638546398	0.24794071562416864	0.09060891503482882	2.1835190550186123
KEGG_PATHWAY	hsa04151:PI3K-Akt signaling pathway	12	6.282722513089005	0.005546605039555515	LAMA2, FGFR2, CCNE2, ITGA9, ITGB8, PDGFRA, IGF1, PRKAA2, HGF, THBS1, IL7R, GHR	92	345	6879	2.600756143667297	0.5777327656085867	0.1938852905049817	6.461461072361785
KEGG_PATHWAY	hsa00590:Arachidonic acid metabolism	5	2.6178010471204187	0.008422046957274552	PTGIS, PTGDS, CYP2B6, CYP2C8, PLA2G2A	92	61	6879	6.128831076265145	0.7304349331301285	0.23063447434041573	9.658369354097719
KEGG_PATHWAY	hsa05020:Prion diseases	4	2.094240837696335	0.009965475931093797	C7, C9, C6, CCL5	92	34	6879	8.796675191815856	0.7882601473618167	0.22797072704230847	11.332734587398107
KEGG_PATHWAY	hsa00380:Tryptophan metabolism	4	2.094240837696335	0.015545454717615863	TDO2, KMO, CYP1A2, INMT	92	40	6879	7.477173913043479	0.9118284218136802	0.29314121612268995	17.151573921881933
KEGG_PATHWAY	hsa05205:Proteoglycans in cancer	8	4.18848167539267	0.016324518271360996	GPC3, ANK3, LUM, ESR1, IGF1, DCN, HGF, THBS1	92	200	6879	2.990869565217391	0.9220104826202964	0.27305001972345444	17.935528165996427
KEGG_PATHWAY	hsa04512:ECM-receptor interaction	5	2.6178010471204187	0.027750178910838075	LAMA2, ITGA9, ITGB8, THBS1, HMMR	92	87	6879	4.297226386806597	0.9872482395750084	0.384103418082103	28.67858739725928
KEGG_PATHWAY	hsa04062:Chemokine signaling pathway	7	3.664921465968586	0.036161906483839115	CXCL14, CXCL13, CCL21, CCL19, CXCL6, CCL5, CXCL12	92	186	6879	2.813990182328191	0.996683855431827	0.43498061831128565	35.74615027825323
KEGG_PATHWAY	hsa04630:Jak-STAT signaling pathway	6	3.1413612565445024	0.04260702352979146	SOCS2, SOCS3, LIFR, IL7R, GHR, IL13RA2	92	145	6879	3.0940029985007493	0.9988278403827101	0.45856758812142184	40.72034696357512
KEGG_PATHWAY	hsa01100:Metabolic pathways	24	12.56544502617801	0.043463587579600116	CNDP1, CYP2B6, CYP2C8, ALDOB, HAL, FBP1, CYP26A1, UPP2, KMO, CYP1A2, MAN1C1, GBA3, GLS2, TDO2, PTGIS, PTGDS, SDS, RRM2, AKR1B10, HAO2, PLA2G2A, CYP2A6, RDH16, AKR1D1	92	1219	6879	1.4721261190569603	0.9989796866334637	0.43671550367077716	41.354154995876755
KEGG_PATHWAY	hsa04510:Focal adhesion	7	3.664921465968586	0.05471015796334768	LAMA2, ITGA9, ITGB8, PDGFRA, IGF1, HGF, THBS1	92	206	6879	2.5407872520050656	0.9998368550586502	0.48871917110489027	49.11955205374235
KEGG_PATHWAY	hsa00591:Linoleic acid metabolism	3	1.5706806282722512	0.05578787732438242	CYP2C8, PLA2G2A, CYP1A2	92	29	6879	7.735007496251874	0.9998632952322734	0.47035540188755354	49.8118421320931
KEGG_PATHWAY	hsa00982:Drug metabolism - cytochrome P450	4	2.094240837696335	0.06066773846180282	CYP2B6, CYP2C8, CYP2A6, CYP1A2	92	68	6879	4.398337595907928	0.9999387675029857	0.4762402370771277	52.83974258771268
KEGG_PATHWAY	hsa04610:Complement and coagulation cascades	4	2.094240837696335	0.06283977523939213	C7, C9, C6, F9	92	69	6879	4.334593572778828	0.9999572292941117	0.46673061552640804	54.13281806096322
KEGG_PATHWAY	hsa00232:Caffeine metabolism	2	1.0471204188481675	0.06443459640901013	CYP2A6, CYP1A2	92	5	6879	29.908695652173915	0.9999671531439458	0.45516582436855935	55.06147685800664
KEGG_PATHWAY	hsa00051:Fructose and mannose metabolism	3	1.5706806282722512	0.06645485844751275	AKR1B10, ALDOB, FBP1	92	32	6879	7.009850543478261	0.9999765050200229	0.4468639693382397	56.21311683230344
KEGG_PATHWAY	hsa05410:Hypertrophic cardiomyopathy (HCM)	4	2.094240837696335	0.08395928610344679	ITGA9, ITGB8, IGF1, PRKAA2	92	78	6879	3.834448160535117	0.9999987503443325	0.5110046199982188	65.11646861122716
KEGG_PATHWAY	hsa04350:TGF-beta signaling pathway	4	2.094240837696335	0.09951255631800549	ID1, ID4, DCN, THBS1	92	84	6879	3.56055900621118	0.9999999120901534	0.5561851024585315	71.60084791025878
